id,claim,label,source
415,Drinking silver water daily reverses dementia symptoms.,Misinformation,Unverified YouTube Video
416,Daily astrology readings improve dementia symptoms.,Misinformation,Random Blog
417,Essential oils can reverse memory loss in dementia patients.,Misinformation,FakeHealthNews
418,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Facebook Post
419,Essential oils can reverse memory loss in dementia patients.,Misinformation,Random Blog
420,Drinking bleach can cleanse the brain of dementia.,Misinformation,Unverified YouTube Video
421,Homeopathy can fully cure dementia.,Misinformation,FakeHealthNews
422,Daily astrology readings improve dementia symptoms.,Misinformation,Facebook Post
423,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Facebook Post
424,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Facebook Post
425,Vaccines increase the risk of dementia.,Misinformation,FakeHealthNews
426,Drinking silver water daily reverses dementia symptoms.,Misinformation,Facebook Post
427,Drinking silver water daily reverses dementia symptoms.,Misinformation,Random Blog
428,Drinking coconut oil cures dementia.,Misinformation,Facebook Post
429,Homeopathy can fully cure dementia.,Misinformation,FakeHealthNews
430,Crystal healing cures Alzheimer’s disease.,Misinformation,Unverified YouTube Video
431,Crystal healing cures Alzheimer’s disease.,Misinformation,FakeHealthNews
432,Daily astrology readings improve dementia symptoms.,Misinformation,Facebook Post
433,Daily astrology readings improve dementia symptoms.,Misinformation,Snopes (debunked)
434,Homeopathy can fully cure dementia.,Misinformation,Unverified YouTube Video
435,Drinking coconut oil cures dementia.,Misinformation,Random Blog
436,Drinking bleach can cleanse the brain of dementia.,Misinformation,FakeHealthNews
437,Drinking silver water daily reverses dementia symptoms.,Misinformation,Facebook Post
438,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Unverified YouTube Video
439,Drinking bleach can cleanse the brain of dementia.,Misinformation,FakeHealthNews
440,Essential oils can reverse memory loss in dementia patients.,Misinformation,Unverified YouTube Video
441,Homeopathy can fully cure dementia.,Misinformation,FakeHealthNews
442,Essential oils can reverse memory loss in dementia patients.,Misinformation,FakeHealthNews
443,Vaccines increase the risk of dementia.,Misinformation,Facebook Post
444,Homeopathy can fully cure dementia.,Misinformation,Snopes (debunked)
445,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Random Blog
446,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Unverified YouTube Video
447,Drinking coconut oil cures dementia.,Misinformation,Random Blog
448,Essential oils can reverse memory loss in dementia patients.,Misinformation,Facebook Post
449,Homeopathy can fully cure dementia.,Misinformation,Random Blog
450,Daily astrology readings improve dementia symptoms.,Misinformation,Snopes (debunked)
451,Drinking coconut oil cures dementia.,Misinformation,Unverified YouTube Video
452,Drinking bleach can cleanse the brain of dementia.,Misinformation,Facebook Post
453,Drinking bleach can cleanse the brain of dementia.,Misinformation,Random Blog
454,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Facebook Post
455,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Random Blog
456,Drinking silver water daily reverses dementia symptoms.,Misinformation,Facebook Post
457,Smoking marijuana cures Alzheimer’s disease.,Misinformation,FakeHealthNews
458,Essential oils can reverse memory loss in dementia patients.,Misinformation,Random Blog
459,Homeopathy can fully cure dementia.,Misinformation,Unverified YouTube Video
460,Drinking coconut oil cures dementia.,Misinformation,FakeHealthNews
461,Homeopathy can fully cure dementia.,Misinformation,Unverified YouTube Video
462,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Unverified YouTube Video
463,Smoking marijuana cures Alzheimer’s disease.,Misinformation,FakeHealthNews
464,Essential oils can reverse memory loss in dementia patients.,Misinformation,FakeHealthNews
465,Drinking coconut oil cures dementia.,Misinformation,Unverified YouTube Video
466,Vaccines increase the risk of dementia.,Misinformation,Random Blog
467,Drinking coconut oil cures dementia.,Misinformation,Random Blog
468,Crystal healing cures Alzheimer’s disease.,Misinformation,Random Blog
469,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Snopes (debunked)
470,Vaccines increase the risk of dementia.,Misinformation,Snopes (debunked)
471,Daily astrology readings improve dementia symptoms.,Misinformation,Snopes (debunked)
472,Drinking bleach can cleanse the brain of dementia.,Misinformation,Snopes (debunked)
473,Crystal healing cures Alzheimer’s disease.,Misinformation,FakeHealthNews
474,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Facebook Post
475,Drinking coconut oil cures dementia.,Misinformation,Unverified YouTube Video
476,Vaccines increase the risk of dementia.,Misinformation,Snopes (debunked)
477,Vaccines increase the risk of dementia.,Misinformation,FakeHealthNews
478,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Snopes (debunked)
479,Essential oils can reverse memory loss in dementia patients.,Misinformation,Random Blog
480,Drinking coconut oil cures dementia.,Misinformation,Random Blog
481,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,FakeHealthNews
482,Drinking silver water daily reverses dementia symptoms.,Misinformation,Snopes (debunked)
483,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Snopes (debunked)
484,Daily astrology readings improve dementia symptoms.,Misinformation,Unverified YouTube Video
485,Crystal healing cures Alzheimer’s disease.,Misinformation,FakeHealthNews
486,Drinking coconut oil cures dementia.,Misinformation,Random Blog
487,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Snopes (debunked)
488,Homeopathy can fully cure dementia.,Misinformation,FakeHealthNews
489,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Random Blog
490,Essential oils can reverse memory loss in dementia patients.,Misinformation,Facebook Post
491,Drinking coconut oil cures dementia.,Misinformation,Random Blog
492,Drinking coconut oil cures dementia.,Misinformation,Unverified YouTube Video
493,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Facebook Post
494,Homeopathy can fully cure dementia.,Misinformation,Random Blog
495,Vaccines increase the risk of dementia.,Misinformation,Unverified YouTube Video
496,Drinking silver water daily reverses dementia symptoms.,Misinformation,Snopes (debunked)
497,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Unverified YouTube Video
498,Drinking coconut oil cures dementia.,Misinformation,FakeHealthNews
499,Smoking marijuana cures Alzheimer’s disease.,Misinformation,FakeHealthNews
500,Drinking silver water daily reverses dementia symptoms.,Misinformation,Snopes (debunked)
501,Vaccines increase the risk of dementia.,Misinformation,Facebook Post
502,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Snopes (debunked)
503,Drinking bleach can cleanse the brain of dementia.,Misinformation,Random Blog
504,Daily astrology readings improve dementia symptoms.,Misinformation,Facebook Post
505,Drinking silver water daily reverses dementia symptoms.,Misinformation,Unverified YouTube Video
506,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,FakeHealthNews
507,Drinking silver water daily reverses dementia symptoms.,Misinformation,Unverified YouTube Video
508,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Random Blog
509,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Facebook Post
510,Drinking coconut oil cures dementia.,Misinformation,Snopes (debunked)
511,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Snopes (debunked)
512,Drinking silver water daily reverses dementia symptoms.,Misinformation,Snopes (debunked)
513,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,FakeHealthNews
514,Smoking marijuana cures Alzheimer’s disease.,Misinformation,Random Blog
515,Crystal healing cures Alzheimer’s disease.,Misinformation,Unverified YouTube Video
516,Essential oils can reverse memory loss in dementia patients.,Misinformation,Facebook Post
517,Essential oils can reverse memory loss in dementia patients.,Misinformation,Unverified YouTube Video
518,Smoking marijuana cures Alzheimer’s disease.,Misinformation,FakeHealthNews
519,Magnetic bracelets can prevent Alzheimer’s disease.,Misinformation,Unverified YouTube Video
520,Daily astrology readings improve dementia symptoms.,Misinformation,Random Blog
